landing_point_id,id,name,latitude,longitude
3259,karachi-pakistan,"Karachi, Pakistan",24.889374,67.028542
16693,mocha-yemen,"Mocha, Yemen",13.320294,43.247334
3177,palermo-italy,"Palermo, Italy",38.121501,13.358366
4348,banjul-gambia,"Banjul, Gambia",13.455945,-16.581359
9434,bata-equatorial-guinea,"Bata, Equatorial Guinea",1.860070,9.768231
4208,conakry-guinea,"Conakry, Guinea",9.513624,-13.703822
3315,cotonou-benin,"Cotonou, Benin",6.356578,2.439916
17037,duynefontein-south-africa,"Duynefontein, South Africa",-33.693323,18.449915
4212,freetown-sierra-leone,"Freetown, Sierra Leone",8.485331,-13.238100
17556,granadilla-canary-islands-spain,"Granadilla, Canary Islands, Spain",28.059116,-16.518054
10095,kribi-cameroon,"Kribi, Cameroon",2.932918,9.910419
4178,monrovia-liberia,"Monrovia, Liberia",6.300076,-10.797184
4192,nouakchott-mauritania,"Nouakchott, Mauritania",18.083871,-15.978284
3119,penmarch-france,"Penmarch, France",47.811315,-4.338692
4263,sao-tome-sao-tome-and-principe,"Sao Tome, Sao Tome and Principe",0.333291,6.733297
17036,suro-guinea-bissau,"Suro, Guinea-Bissau",11.774132,-15.791146
4816,juneau-ak-united-states,"Juneau, AK, United States",58.299507,-134.406862
5770,lynnwood-wa-united-states,"Lynnwood, WA, United States",47.823996,-122.315855
5764,valdez-ak-united-states,"Valdez, AK, United States",61.130353,-146.353341
6255,whittier-ak-united-states,"Whittier, AK, United States",60.772930,-148.684739
8553,angoon-ak-united-states,"Angoon, AK, United States",57.501841,-134.582252
8552,hawk-inlet-ak-united-states,"Hawk Inlet, AK, United States",58.128107,-134.741822
8550,petersburg-ak-united-states,"Petersburg, AK, United States",56.807613,-132.970046
8554,sitka-ak-united-states,"Sitka, AK, United States",57.052913,-135.334400
8549,wrangell-ak-united-states,"Wrangell, AK, United States",56.470797,-132.383816
15023,mchugh-point-ak-united-states,"McHugh Point, AK, United States",61.015715,-149.732199
15022,portage-ak-united-states,"Portage, AK, United States",60.828289,-148.989817
5755,seward-ak-united-states,"Seward, AK, United States",60.112189,-149.443137
6191,warrenton-or-united-states,"Warrenton, OR, United States",46.165128,-123.923861
8352,la-guaira-venezuela,"La Guaira, Venezuela",10.603154,-66.889624
7688,ocho-rios-jamaica,"Ocho Rios, Jamaica",18.398555,-77.103191
14733,santiago-de-cuba-cuba,"Santiago de Cuba, Cuba",20.028794,-75.828974
8351,siboney-cuba,"Siboney, Cuba",19.963638,-75.712372
6044,alexandria-egypt,"Alexandria, Egypt",31.191886,29.889799
6030,tartous-syria,"Tartous, Syria",34.891705,35.897803
5776,baby-beach-aruba,"Baby Beach, Aruba",12.414142,-69.878685
10729,willemstad-curaao,"Willemstad, Curaçao",12.095319,-68.896605
5774,el-djamila-algeria,"El Djamila, Algeria",36.800219,2.901439
5948,ses-covetes-spain,"Ses Covetes, Spain",39.354540,2.970971
4315,barranquilla-colombia,"Barranquilla, Colombia",10.940462,-74.779756
3842,cancn-mexico,"Cancún, Mexico",21.095725,-86.767552
5693,cartagena-colombia,"Cartagena, Colombia",10.386695,-75.505683
3347,fortaleza-brazil,"Fortaleza, Brazil",-3.718834,-38.542965
3650,hollywood-fl-united-states,"Hollywood, FL, United States",26.010202,-80.160233
3655,jacksonville-fl-united-states,"Jacksonville, FL, United States",30.331761,-81.655740
5848,puerto-barrios-guatemala,"Puerto Barrios, Guatemala",15.727144,-88.597238
5823,puerto-plata-dominican-republic,"Puerto Plata, Dominican Republic",19.799344,-70.691233
3242,rio-de-janeiro-brazil,"Rio de Janeiro, Brazil",-22.903394,-43.209563
3342,salvador-brazil,"Salvador, Brazil",-12.969985,-38.504635
4262,san-juan-pr-united-states,"San Juan, PR, United States",18.465839,-66.106666
5758,magens-bay-vi-united-states,"Magen’s Bay, VI, United States",18.372989,-64.937087
3813,vero-beach-fl-united-states,"Vero Beach, FL, United States",27.638390,-80.394266
5966,camuri-venezuela,"Camuri, Venezuela",10.606454,-66.878199
5575,cayenne-french-guiana,"Cayenne, French Guiana",4.941367,-52.321080
5905,le-lamentin-martinique,"Le Lamentin, Martinique",14.615536,-61.094267
5762,miramar-pr-united-states,"Miramar, PR, United States",18.453415,-66.082887
4236,port-of-spain-trinidad-and-tobago,"Port of Spain, Trinidad and Tobago",10.649789,-61.516679
5750,st-croix-vi-united-states,"St. Croix, VI, United States",17.771864,-64.819411
14635,kralendijk-bonaire-netherlands,"Kralendijk, Bonaire, Netherlands",12.150685,-68.276684
18123,le-porge-france,"Le Porge, France",44.893828,-1.211874
3683,lynn-ma-united-states,"Lynn, MA, United States",42.463669,-70.950266
5773,isla-verde-pr-united-states,"Isla Verde, PR, United States",18.441650,-66.016871
5694,punta-cana-dominican-republic,"Punta Cana, Dominican Republic",18.621280,-68.438256
4242,santo-domingo-dominican-republic,"Santo Domingo, Dominican Republic",18.500004,-69.983275
3218,batangas-philippines,"Batangas, Philippines",13.765553,121.064930
4183,busan-south-korea,"Busan, South Korea",35.170282,128.999470
5885,chikura-japan,"Chikura, Japan",34.976658,139.954663
5802,chongming-china,"Chongming, China",31.619883,121.395203
5939,katong-singapore,"Katong, Singapore",1.309282,103.904688
5703,kitaibaraki-japan,"Kitaibaraki, Japan",36.801783,140.750951
5903,kuantan-malaysia,"Kuantan, Malaysia",3.815165,103.322560
5852,lantau-island-china,"Lantau Island, China",22.271492,113.948333
5803,shantou-china,"Shantou, China",23.354555,116.675480
5982,tanshui-taiwan,"Tanshui, Taiwan",25.181361,121.462586
5723,chania-greece,"Chania, Greece",35.511805,24.012167
5811,yeroskipos-cyprus,"Yeroskipos, Cyprus",34.766411,32.466555
5837,lannion-france,"Lannion, France",48.730257,-3.459933
3686,manasquan-nj-united-states,"Manasquan, NJ, United States",40.123341,-74.047041
3319,auckland-new-zealand,"Auckland, New Zealand",-36.884414,174.770458
7855,canterbury-new-zealand,"Canterbury, New Zealand",-43.494186,171.707374
7853,manawatu-wanganui-new-zealand,"Manawatu-Wanganui, New Zealand",-39.625442,175.618212
7854,marlborough-new-zealand,"Marlborough, New Zealand",-41.527246,173.580713
7852,taranaki-new-zealand,"Taranaki, New Zealand",-39.287855,174.371533
7851,waikato-new-zealand,"Waikato, New Zealand",-37.915898,175.534911
4052,wellington-new-zealand,"Wellington, New Zealand",-41.280546,174.767138
5791,belize-city-belize,"Belize City, Belize",17.495547,-88.181614
5920,bluefields-nicaragua,"Bluefields, Nicaragua",11.991778,-83.771461
5784,cat-island-bahamas,"Cat Island, Bahamas",24.403329,-75.525898
5782,crooked-island-bahamas,"Crooked Island, Bahamas",22.629712,-74.194990
5928,maria-chiquita-panama,"Maria Chiquita, Panama",9.437336,-79.753544
4230,nassau-bahamas,"Nassau, Bahamas",25.067038,-77.340252
5772,north-miami-beach-fl-united-states,"North Miami Beach, FL, United States",25.932943,-80.162381
4258,providenciales-turks-and-caicos-islands,"Providenciales, Turks and Caicos Islands",21.851092,-72.120236
5921,puerto-cabezas-nicaragua,"Puerto Cabezas, Nicaragua",14.021605,-83.393922
5851,puerto-cortes-honduras,"Puerto Cortes, Honduras",15.844798,-87.946067
5692,puerto-lempira-honduras,"Puerto Lempira, Honduras",15.261221,-83.776759
5810,puerto-limon-costa-rica,"Puerto Limon, Costa Rica",9.988606,-83.037672
5965,punto-fijo-venezuela,"Punto Fijo, Venezuela",11.708793,-70.204258
5807,riohacha-colombia,"Riohacha, Colombia",11.482909,-72.952706
5850,trujillo-honduras,"Trujillo, Honduras",15.915151,-85.954760
5908,tulum-mexico,"Tulum, Mexico",20.212553,-87.463597
16514,cabo-espiritu-santo-argentina,"Cabo Espiritu Santo , Argentina",-52.658894,-68.605785
16513,punta-dungeness-argentina,"Punta Dungeness, Argentina",-52.390230,-68.419750
9485,abu-talat-egypt,"Abu Talat, Egypt",31.071849,29.702495
15019,al-bustan-oman,"Al Bustan, Oman",23.576086,58.606087
3160,bari-italy,"Bari, Italy",41.125492,16.866664
6007,cape-daguilar-china,"Cape D’Aguilar, China",22.208037,114.260247
3867,doha-qatar,"Doha, Qatar",25.294341,51.519374
5962,fujairah-united-arab-emirates,"Fujairah, United Arab Emirates",25.121693,56.333726
4361,jeddah-saudi-arabia,"Jeddah, Saudi Arabia",21.481259,39.182761
15018,kuala-kurau-malaysia,"Kuala Kurau, Malaysia",5.019464,100.397073
3212,mumbai-india,"Mumbai, India",19.075797,72.875902
14639,ngwe-saung-myanmar,"Ngwe Saung, Myanmar",16.858028,94.391218
5956,satun-thailand,"Satun, Thailand",6.613214,100.066117
9118,sihanoukville-cambodia,"Sihanoukville, Cambodia",10.630006,103.506642
4265,songkhla-thailand,"Songkhla, Thailand",7.078450,100.596976
6013,vung-tau-vietnam,"Vung Tau, Vietnam",10.341846,107.079198
5940,changi-north-singapore,"Changi North, Singapore",1.389045,103.987012
5754,keawaula-hi-united-states,"Keawaula, HI, United States",21.548769,-158.242038
10340,la-union-philippines,"La Union, Philippines",16.582591,120.389637
5902,mersing-malaysia,"Mersing, Malaysia",2.295512,103.849903
3772,san-luis-obispo-ca-united-states,"San Luis Obispo, CA, United States",35.285014,-120.662731
6014,sriracha-thailand,"Sriracha, Thailand",13.174440,100.930545
3251,tanguisson-point-gu-united-states,"Tanguisson Point, GU, United States",13.549098,144.809347
5970,tungku-brunei,"Tungku, Brunei",4.926371,114.885833
5856,chung-hom-kok-china,"Chung Hom Kok, China",22.225033,114.205657
5887,maruyama-japan,"Maruyama, Japan",35.037519,139.816967
17229,quy-nhon-vietnam,"Quy Nhon, Vietnam",13.782958,109.219650
5938,tuas-singapore,"Tuas, Singapore",1.338193,103.647071
5986,danang-vietnam,"Danang, Vietnam",16.051560,108.214744
5804,nanhui-china,"Nanhui, China",30.864714,121.925069
5883,shima-japan,"Shima, Japan",34.336891,136.874294
9135,tanah-merah-singapore,"Tanah Merah, Singapore",1.327258,103.946583
5981,toucheng-taiwan,"Toucheng, Taiwan",24.863593,121.801453
5857,tseung-kwan-o-china,"Tseung Kwan O, China",22.318296,114.258685
5937,changi-south-singapore,"Changi South, Singapore",1.389435,103.987012
10355,daet-philippines,"Daet, Philippines",14.116616,122.949889
17508,komesu-japan,"Komesu, Japan",26.087759,127.700795
5973,piti-gu-united-states,"Piti, GU, United States",13.464683,144.694698
16551,sasanlagu-rota-northern-mariana-islands,"Sasanlagu, Rota, Northern Mariana Islands",14.144932,145.134346
16550,sugar-dock-saipan-northern-mariana-islands,"Sugar Dock, Saipan, Northern Mariana Islands",15.151812,145.699580
16552,tachognya-beach-tinian-northern-mariana-islands,"Tachognya Beach, Tinian, Northern Mariana Islands",14.958771,145.629268
3080,beverwijk-netherlands,"Beverwijk, Netherlands",52.486313,4.656907
4512,brookhaven-ny-united-states,"Brookhaven, NY, United States",40.773148,-72.912276
3142,sylt-germany,"Sylt, Germany",54.898506,8.383369
3081,whitesands-bay-united-kingdom,"Whitesands Bay, United Kingdom",50.078517,-5.698457
5944,conil-spain,"Conil, Spain",36.276563,-6.087226
5722,el-mdano-canary-islands-spain,"El Médano, Canary Islands, Spain",28.046656,-16.538586
3330,las-toninas-argentina,"Las Toninas, Argentina",-36.472530,-56.695491
4257,praia-cape-verde,"Praia, Cape Verde",14.923011,-23.521247
5910,asilah-morocco,"Asilah, Morocco",35.470777,-6.035761
17106,akutan-ak-united-states,"Akutan, AK, United States",54.135646,-165.773057
17371,chignik-bay-ak-united-states,"Chignik Bay, AK, United States",56.294527,-158.408809
17372,chignik-lagoon-ak-united-states,"Chignik Lagoon, AK, United States",56.321349,-158.507229
17373,chignik-lake-ak-united-states,"Chignik Lake, AK, United States",56.254981,-158.772091
17368,cold-bay-ak-united-states,"Cold Bay, AK, United States",55.204142,-162.704030
17105,false-pass-ak-united-states,"False Pass, AK, United States",54.850929,-163.415000
17367,king-cove-ak-united-states,"King Cove, AK, United States",55.049224,-162.304420
8394,kodiak-ak-united-states,"Kodiak, AK, United States",57.794136,-152.395283
17374,larsen-bay-ak-united-states,"Larsen Bay, AK, United States",57.537325,-153.985971
17370,perryville-ak-united-states,"Perryville, AK, United States",55.917506,-159.144791
17369,sand-point-ak-united-states,"Sand Point, AK, United States",55.341545,-160.496301
17107,unalaska-ak-united-states,"Unalaska, AK, United States",53.884529,-166.533243
8722,balboa-panama,"Balboa, Panama",8.950027,-79.566678
4357,georgetown-cayman-islands,"Georgetown, Cayman Islands",19.296600,-81.381704
8918,manta-ecuador,"Manta, Ecuador",-0.950020,-80.716189
3779,sarasota-fl-united-states,"Sarasota, FL, United States",27.338874,-82.539626
5778,oxford-falls-australia,"Oxford Falls, Australia",-33.737386,151.245084
5779,paddington-new-south-wales-australia,"Paddington, New South Wales, Australia",-33.882123,151.228678
5972,tumon-bay-gu-united-states,"Tumon Bay, GU, United States",13.513588,144.800558
14605,anyer-indonesia,"Anyer, Indonesia",-6.073698,105.883910
17023,flying-fish-cove-christmas-island,"Flying Fish Cove, Christmas Island",-10.437359,105.697070
3239,perth-australia,"Perth, Australia",-31.953439,115.857219
14840,chindini-comoros,"Chindini, Comoros",-11.923498,43.489106
9134,mamoudzou-mayotte,"Mamoudzou, Mayotte",-12.783309,45.233294
4227,moroni-comoros,"Moroni, Comoros",-11.700694,43.243403
14841,mutsamudu-comoros,"Mutsamudu, Comoros",-12.166657,44.400043
18076,siyazan-azerbaijan,"Siyazan, Azerbaijan",41.075398,49.112407
18077,turkmenbashi-turkmenistan,"Turkmenbashi, Turkmenistan",40.003424,52.962429
14836,angra-do-heroismo-portugal,"Angra do Heroismo, Portugal",38.658523,-27.215824
14659,faial-portugal,"Faial, Portugal",38.525100,-28.647562
14658,graciosa-portugal,"Graciosa, Portugal",39.011030,-27.963480
5945,ponta-delgada-portugal,"Ponta Delgada, Portugal",37.739217,-25.668755
14834,sao-mateus-portugal,"Sao Mateus, Portugal",38.432290,-28.461234
14833,velas-portugal,"Velas, Portugal",38.683845,-28.213187
14835,vila-do-porto-portugal,"Vila do Porto, Portugal",36.956764,-25.141265
5862,batam-indonesia,"Batam, Indonesia",1.134725,103.962501
16015,batu-prahu-indonesia,"Batu Prahu, Indonesia",-3.079925,106.547460
3012,jakarta-indonesia,"Jakarta, Indonesia",-6.171890,106.827831
16014,pesaren-indonesia,"Pesaren, Indonesia",-1.553876,105.582714
5783,eight-mile-rock-bahamas,"Eight-Mile Rock, Bahamas",26.539626,-78.802861
10360,clarence-town-bahamas,"Clarence Town, Bahamas",23.098343,-74.966181
10364,cockburn-town-bahamas,"Cockburn Town, Bahamas",24.052532,-74.530244
10361,duncan-town-bahamas,"Duncan Town, Bahamas",22.183262,-75.733466
10358,fresh-creek-bahamas,"Fresh Creek, Bahamas",24.689806,-77.844609
10359,george-town-bahamas,"George Town, Bahamas",23.516552,-75.788007
10357,governors-harbor-bahamas,"Governors Harbor, Bahamas",25.196119,-76.240643
5785,hawksbill-bahamas,"Hawksbill, Bahamas",26.516908,-78.736845
9581,matthew-town-bahamas,"Matthew Town, Bahamas",20.950513,-73.683077
10362,mayaguana-bahamas,"Mayaguana, Bahamas",22.401565,-73.064132
10363,port-nelson-bahamas,"Port Nelson, Bahamas",23.652143,-74.840547
3878,port-au-prince-haiti,"Port-au-Prince, Haiti",18.542692,-72.343136
5788,sandy-point-bahamas,"Sandy Point, Bahamas",26.025209,-77.399529
3563,boca-raton-fl-united-states,"Boca Raton, FL, United States",26.350323,-80.088944
5786,caves-point-bahamas,"Caves Point, Bahamas",25.068453,-77.452996
8355,crown-haven-bahamas,"Crown Haven, Bahamas",26.912504,-77.821953
5787,current-bahamas,"Current, Bahamas",25.407833,-76.787664
8354,riding-point-bahamas,"Riding Point, Bahamas",26.616744,-78.245879
8357,spanish-river-park-fl-united-states,"Spanish River Park, FL, United States",26.378060,-80.067704
4723,palma-spain,"Palma, Spain",39.552326,2.605248
3066,valencia-spain,"Valencia, Spain",39.468309,-0.376976
16516,senggigi-indonesia,"Senggigi, Indonesia",-8.485457,116.047282
16515,seraya-indonesia,"Seraya, Indonesia",-8.386261,115.746672
3064,helsinki-finland,"Helsinki, Finland",60.171075,24.932478
3063,stockholm-sweden,"Stockholm, Sweden",59.332209,18.062854
3089,tallinn-estonia,"Tallinn, Estonia",59.436200,24.752400
5820,gedser-denmark,"Gedser, Denmark",54.576349,11.928972
5933,kolobrzeg-poland,"Kolobrzeg, Poland",54.172346,15.574868
5822,pedersker-denmark,"Pedersker, Denmark",55.030925,14.992153
5954,ystad-sweden,"Ystad, Sweden",55.431333,13.828287
7813,boat-harbour-tasmania-australia,"Boat Harbour, Tasmania, Australia",-40.950868,145.623799
10799,sandy-point-australia,"Sandy Point, Australia",-38.820183,146.119697
7860,inverloch-australia,"Inverloch, Australia",-38.633453,145.729463
7861,stanley-australia,"Stanley, Australia",-40.760375,145.294112
10796,four-mile-bluff-australia,"Four Mile Bluff, Australia",-41.033277,146.850166
10797,mcgaurans-beach-australia,"McGaurans Beach, Australia",-38.443616,147.071259
7311,dumai-indonesia,"Dumai, Indonesia",1.665606,101.447561
6300,melaka-malaysia,"Melaka, Malaysia",2.273178,102.220900
8970,rengit-malaysia,"Rengit, Malaysia",1.677137,103.147657
15731,tanjung-pinang-indonesia,"Tanjung Pinang, Indonesia",1.083333,104.483328
17376,kg-buntai-malaysia,"Kg Buntai, Malaysia",1.675088,110.293621
9096,tanjung-bemban-indonesia,"Tanjung Bemban, Indonesia",1.173205,104.133106
3029,singapore-singapore,"Singapore, Singapore",1.293661,103.853028
8947,barka-oman,"Barka, Oman",23.679435,58.004330
4191,chennai-india,"Chennai, India",13.063485,80.243084
3307,penang-malaysia,"Penang, Malaysia",5.353649,100.362991
14621,ratmalana-sri-lanka,"Ratmalana, Sri Lanka",6.820388,79.889275
10365,katthammarsvik-sweden,"Katthammarsvik, Sweden",57.431039,18.845276
5311,sventoji-lithuania,"Sventoji, Lithuania",56.028288,21.082384
5310,liepaja-latvia,"Liepaja, Latvia",56.508187,21.011290
7694,hanko-finland,"Hanko, Finland",59.823210,22.968222
9104,haradsholm-finland,"Haradsholm, Finland",60.300969,22.302109
5830,mariehamn-finland,"Mariehamn, Finland",60.113837,19.937853
5952,stavsnas-sweden,"Stavsnas, Sweden",59.292780,18.688335
4552,kotka-finland,"Kotka, Finland",60.501041,26.883551
9102,logi-russia,"Logi, Russia",59.799885,28.499859
3862,beirut-lebanon,"Beirut, Lebanon",33.892474,35.485205
6047,saida-lebanon,"Saida, Lebanon",33.450191,35.386280
6046,trablous-lebanon,"Trablous, Lebanon",34.439420,35.859131
5949,mt-lavinia-sri-lanka,"Mt. Lavinia, Sri Lanka",6.832702,79.866717
7678,tuticorine-india,"Tuticorine, India",8.802197,78.145136
5963,maldonado-uruguay,"Maldonado, Uruguay",-34.900380,-54.950180
3902,davao-philippines,"Davao, Philippines",7.079989,125.612778
3678,los-angeles-ca-united-states,"Los Angeles, CA, United States",34.053394,-118.245350
4538,bergen-norway,"Bergen, Norway",60.390703,5.332761
5923,krst-norway,"Kårstø, Norway",59.279266,5.524387
3132,stavanger-norway,"Stavanger, Norway",58.970835,5.730793
10225,bod-norway,"Bodø, Norway",67.286001,14.400076
17145,rst-norway,"Røst, Norway",67.502560,12.070117
9385,coron-philippines,"Coron, Philippines",12.005056,120.200697
7841,san-jose-philippines,"San Jose, Philippines",12.362576,121.050111
14655,taytay-philippines,"Taytay, Philippines",10.819603,119.500380
17570,aguadilla-pr-united-states,"Aguadilla, PR, United States",18.427498,-67.154859
13397,frederiksted-virgin-islands-u-s-,"Frederiksted, Virgin Islands (U.S.)",17.712430,-64.881520
17572,humacao-pr-united-states,"Humacao, PR, United States",18.117763,-65.781263
17573,macao-beach-dominican-republic,"Macao Beach, Dominican Republic",18.649121,-68.358080
17571,ponce-pr-united-states,"Ponce, PR, United States",17.982654,-66.626612
6004,ume-sweden,"Umeå, Sweden",63.825870,20.262951
5052,vaasa-finland,"Vaasa, Finland",63.095195,21.616368
3356,aracaj-brazil,"Aracajú, Brazil",-10.909604,-37.074802
16690,atafona-brazil,"Atafona, Brazil",-21.631161,-41.027240
4590,ilhus-brazil,"Ilhéus, Brazil",-14.787976,-39.047701
3351,joo-pessoa-brazil,"João Pessoa, Brazil",-7.115293,-34.861034
3387,maca-brazil,"Macaé, Brazil",-22.371806,-41.785638
3344,macei-brazil,"Maceió, Brazil",-9.666468,-35.734959
3354,natal-brazil,"Natal, Brazil",-5.794830,-35.211180
5493,porto-seguro-brazil,"Porto Seguro, Brazil",-16.451086,-39.064693
3352,recife-brazil,"Recife, Brazil",-8.055335,-34.871971
16689,sitio-brazil,"Sitio, Brazil",-11.846666,-37.570505
5506,so-mateus-brazil,"São Mateus, Brazil",-18.716705,-39.859126
3343,vitria-brazil,"Vitória, Brazil",-20.294018,-40.301655
4862,virginia-beach-va-united-states,"Virginia Beach, VA, United States",36.755008,-76.059198
15840,achnaba-united-kingdom,"Achnaba, United Kingdom",56.019420,-5.365791
15871,aikerness-united-kingdom,"Aikerness , United Kingdom",59.350456,-2.959152
15874,ardbeg-point-united-kingdom,"Ardbeg Point, United Kingdom",55.858590,-5.063594
15876,ardgour-united-kingdom,"Ardgour, United Kingdom",56.721568,-5.233662
15857,ardmair-united-kingdom,"Ardmair, United Kingdom",57.934079,-5.196211
15842,ardnacross-united-kingdom,"Ardnacross, United Kingdom",55.476549,-5.533418
15845,ardneil-bay-united-kingdom,"Ardneil Bay, United Kingdom",55.693046,-4.889375
15863,ardvasar-united-kingdom,"Ardvasar, United Kingdom",57.059372,-5.906465
15875,ardyne-point-united-kingdom,"Ardyne Point, United Kingdom",55.869413,-5.019991
15868,balla-united-kingdom,"Balla, United Kingdom",57.081522,-7.312176
15870,bay-of-tuquoy-united-kingdom,"Bay of Tuquoy, United Kingdom",59.279768,-2.939523
15841,blackwaterfoot-united-kingdom,"Blackwaterfoot, United Kingdom",55.501952,-5.332100
15858,branahuie-bay-united-kingdom,"Branahuie Bay, United Kingdom",58.209062,-6.310761
15866,calgary-united-kingdom,"Calgary, United Kingdom",56.582124,-6.272382
15873,coilleag-united-kingdom,"Coilleag, United Kingdom",57.073614,-7.302216
15856,corran-united-kingdom,"Corran, United Kingdom",56.722526,-5.245381
15844,corrie-united-kingdom,"Corrie, United Kingdom",55.643650,-5.141426
15850,craighouse-united-kingdom,"Craighouse, United Kingdom",55.833672,-5.953828
15843,down-craig-united-kingdom,"Down Craig, United Kingdom",55.780156,-4.900459
15854,duart-bay-united-kingdom,"Duart Bay, United Kingdom",56.455839,-5.669355
15861,dunvegan-united-kingdom,"Dunvegan, United Kingdom",57.436322,-6.581659
15847,feolin-ferry-united-kingdom,"Feolin Ferry, United Kingdom",55.846750,-6.089912
15855,ganavan-bay-united-kingdom,"Ganavan Bay, United Kingdom",56.437764,-5.475801
15849,glenbarr-united-kingdom,"Glenbarr, United Kingdom",55.565500,-5.697578
15838,kilchatten-bay-united-kingdom,"Kilchatten Bay, United Kingdom",55.751842,-5.028096
15852,kilchoan-ferry-united-kingdom,"Kilchoan Ferry, United Kingdom",56.688572,-6.093964
15848,lagavulin-united-kingdom,"Lagavulin, United Kingdom",55.636113,-6.125410
15837,largs-united-kingdom,"Largs, United Kingdom",55.793341,-4.867305
15859,leverburgh-united-kingdom,"Leverburgh, United Kingdom",57.769405,-7.008368
15860,lochmaddy-united-kingdom,"Lochmaddy, United Kingdom",57.603696,-7.163348
15867,ludag-united-kingdom,"Ludag, United Kingdom",57.105535,-7.328143
15864,mallaigvaig-united-kingdom,"Mallaigvaig, United Kingdom",57.008478,-5.820429
15869,north-bay-united-kingdom,"North Bay, United Kingdom",57.025291,-7.449481
15851,ormsary-united-kingdom,"Ormsary, United Kingdom",55.891680,-5.614570
15839,otter-ferry-united-kingdom,"Otter Ferry, United Kingdom",56.008284,-5.321211
15846,port-askaig-united-kingdom,"Port Askaig, United Kingdom",55.847736,-6.106318
15872,portachur-point-united-kingdom,"Portachur Point, United Kingdom",55.742765,-4.943868
15862,sandwick-village-united-kingdom,"Sandwick Village, United Kingdom",57.366696,-7.274139
15865,scarinish-united-kingdom,"Scarinish, United Kingdom",56.503788,-6.808515
15853,tobermory-united-kingdom,"Tobermory, United Kingdom",56.621849,-6.070283
13373,ballyhornan-united-kingdom,"Ballyhornan, United Kingdom",54.302045,-5.559394
13374,groudle-bay-isle-of-man,"Groudle Bay, Isle of Man",54.166979,-4.423897
13372,peel-isle-of-man,"Peel, Isle of Man",54.222447,-4.691426
13375,silecroft-beach-united-kingdom,"Silecroft Beach, United Kingdom",54.210627,-3.357150
6033,broadstairs-united-kingdom,"Broadstairs, United Kingdom",51.358887,1.439429
